,key,avg,sum,num,name,source
271,Context.StorageManager.Query.Reader.dedup_tiles_with_timestamps,0.00026884,0.00026884,1,X_batch,tiledbsoma
82,Context.StorageManager.Query.Reader.dedup_tiles_with_timestamps,0.00028917,0.00028917,1,X_batch,tiledbsoma
351,Context.StorageManager.Query.Reader.dowork,0.211915,0.211915,1,X_batch,tiledbsoma
108,Context.StorageManager.Query.Reader.dowork,0.170231,0.170231,1,X_batch,tiledbsoma
162,Context.StorageManager.Query.Reader.dowork,0.0968886,0.0968886,1,X_batch,tiledbsoma
243,Context.StorageManager.Query.Reader.dowork,0.250966,0.250966,1,X_batch,tiledbsoma
378,Context.StorageManager.Query.Reader.dowork,0.19301,0.19301,1,X_batch,tiledbsoma
270,Context.StorageManager.Query.Reader.dowork,0.137341,0.137341,1,X_batch,tiledbsoma
27,Context.StorageManager.Query.Reader.dowork,0.190436,0.190436,1,X_batch,tiledbsoma
189,Context.StorageManager.Query.Reader.dowork,0.233807,0.233807,1,X_batch,tiledbsoma
81,Context.StorageManager.Query.Reader.dowork,0.233141,0.233141,1,X_batch,tiledbsoma
216,Context.StorageManager.Query.Reader.dowork,0.175766,0.175766,1,X_batch,tiledbsoma
324,Context.StorageManager.Query.Reader.dowork,0.127825,0.127825,1,X_batch,tiledbsoma
135,Context.StorageManager.Query.Reader.dowork,0.110407,0.110407,1,X_batch,tiledbsoma
297,Context.StorageManager.Query.Reader.dowork,0.206992,0.206992,1,X_batch,tiledbsoma
54,Context.StorageManager.Query.Reader.dowork,0.208095,0.208095,1,X_batch,tiledbsoma
161,Context.StorageManager.Query.Reader.load_initial_data,0.003008,0.003008,1,X_batch,tiledbsoma
242,Context.StorageManager.Query.Reader.load_initial_data,0.00289998,0.00289998,1,X_batch,tiledbsoma
26,Context.StorageManager.Query.Reader.load_initial_data,0.00227916,0.00227916,1,X_batch,tiledbsoma
350,Context.StorageManager.Query.Reader.load_initial_data,0.00290143,0.00290143,1,X_batch,tiledbsoma
296,Context.StorageManager.Query.Reader.load_initial_data,0.00281032,0.00281032,1,X_batch,tiledbsoma
215,Context.StorageManager.Query.Reader.load_initial_data,0.00294726,0.00294726,1,X_batch,tiledbsoma
269,Context.StorageManager.Query.Reader.load_initial_data,0.00280824,0.00280824,1,X_batch,tiledbsoma
134,Context.StorageManager.Query.Reader.load_initial_data,0.00284342,0.00284342,1,X_batch,tiledbsoma
188,Context.StorageManager.Query.Reader.load_initial_data,0.00296956,0.00296956,1,X_batch,tiledbsoma
323,Context.StorageManager.Query.Reader.load_initial_data,0.00287286,0.00287286,1,X_batch,tiledbsoma
377,Context.StorageManager.Query.Reader.load_initial_data,0.00294675,0.00294675,1,X_batch,tiledbsoma
53,Context.StorageManager.Query.Reader.load_initial_data,0.0029442,0.0029442,1,X_batch,tiledbsoma
107,Context.StorageManager.Query.Reader.load_initial_data,0.00304362,0.00304362,1,X_batch,tiledbsoma
80,Context.StorageManager.Query.Reader.load_initial_data,0.00290294,0.00290294,1,X_batch,tiledbsoma
349,Context.StorageManager.Query.Reader.load_tile_metadata,8.075e-06,8.075e-06,1,X_batch,tiledbsoma
160,Context.StorageManager.Query.Reader.load_tile_metadata,8.741e-06,8.741e-06,1,X_batch,tiledbsoma
106,Context.StorageManager.Query.Reader.load_tile_metadata,1.0292e-05,1.0292e-05,1,X_batch,tiledbsoma
241,Context.StorageManager.Query.Reader.load_tile_metadata,8.694e-06,8.694e-06,1,X_batch,tiledbsoma
79,Context.StorageManager.Query.Reader.load_tile_metadata,7.964e-06,7.964e-06,1,X_batch,tiledbsoma
52,Context.StorageManager.Query.Reader.load_tile_metadata,8.248e-06,8.248e-06,1,X_batch,tiledbsoma
295,Context.StorageManager.Query.Reader.load_tile_metadata,8.342e-06,8.342e-06,1,X_batch,tiledbsoma
187,Context.StorageManager.Query.Reader.load_tile_metadata,8.154e-06,8.154e-06,1,X_batch,tiledbsoma
214,Context.StorageManager.Query.Reader.load_tile_metadata,8.267e-06,8.267e-06,1,X_batch,tiledbsoma
25,Context.StorageManager.Query.Reader.load_tile_metadata,6.788e-06,6.788e-06,1,X_batch,tiledbsoma
322,Context.StorageManager.Query.Reader.load_tile_metadata,1.0603e-05,1.0603e-05,1,X_batch,tiledbsoma
376,Context.StorageManager.Query.Reader.load_tile_metadata,8.132e-06,8.132e-06,1,X_batch,tiledbsoma
133,Context.StorageManager.Query.Reader.load_tile_metadata,7.944e-06,7.944e-06,1,X_batch,tiledbsoma
268,Context.StorageManager.Query.Reader.load_tile_metadata,8.011e-06,8.011e-06,1,X_batch,tiledbsoma
294,Context.StorageManager.Query.Reader.load_tile_offsets,0.000262172,0.000786515,3,X_batch,tiledbsoma
267,Context.StorageManager.Query.Reader.load_tile_offsets,0.000261157,0.00078347,3,X_batch,tiledbsoma
186,Context.StorageManager.Query.Reader.load_tile_offsets,0.000247754,0.000743263,3,X_batch,tiledbsoma
78,Context.StorageManager.Query.Reader.load_tile_offsets,0.000243859,0.000731577,3,X_batch,tiledbsoma
348,Context.StorageManager.Query.Reader.load_tile_offsets,0.000263439,0.000790317,3,X_batch,tiledbsoma
321,Context.StorageManager.Query.Reader.load_tile_offsets,0.000263468,0.000790403,3,X_batch,tiledbsoma
24,Context.StorageManager.Query.Reader.load_tile_offsets,0.000167695,0.000503086,3,X_batch,tiledbsoma
213,Context.StorageManager.Query.Reader.load_tile_offsets,0.00025259,0.00075777,3,X_batch,tiledbsoma
105,Context.StorageManager.Query.Reader.load_tile_offsets,0.000245778,0.000737334,3,X_batch,tiledbsoma
159,Context.StorageManager.Query.Reader.load_tile_offsets,0.000263969,0.000791906,3,X_batch,tiledbsoma
240,Context.StorageManager.Query.Reader.load_tile_offsets,0.000246749,0.000740248,3,X_batch,tiledbsoma
132,Context.StorageManager.Query.Reader.load_tile_offsets,0.000238745,0.000716234,3,X_batch,tiledbsoma
375,Context.StorageManager.Query.Reader.load_tile_offsets,0.000267841,0.000803523,3,X_batch,tiledbsoma
51,Context.StorageManager.Query.Reader.load_tile_offsets,0.000241524,0.000724571,3,X_batch,tiledbsoma
104,Context.StorageManager.Query.Reader.load_tile_var_sizes,7.508e-06,7.508e-06,1,X_batch,tiledbsoma
374,Context.StorageManager.Query.Reader.load_tile_var_sizes,7.282e-06,7.282e-06,1,X_batch,tiledbsoma
185,Context.StorageManager.Query.Reader.load_tile_var_sizes,7.352e-06,7.352e-06,1,X_batch,tiledbsoma
239,Context.StorageManager.Query.Reader.load_tile_var_sizes,7.311e-06,7.311e-06,1,X_batch,tiledbsoma
293,Context.StorageManager.Query.Reader.load_tile_var_sizes,9.425e-06,9.425e-06,1,X_batch,tiledbsoma
131,Context.StorageManager.Query.Reader.load_tile_var_sizes,8.687e-06,8.687e-06,1,X_batch,tiledbsoma
50,Context.StorageManager.Query.Reader.load_tile_var_sizes,8.924e-06,8.924e-06,1,X_batch,tiledbsoma
347,Context.StorageManager.Query.Reader.load_tile_var_sizes,8.553e-06,8.553e-06,1,X_batch,tiledbsoma
77,Context.StorageManager.Query.Reader.load_tile_var_sizes,9.48e-06,9.48e-06,1,X_batch,tiledbsoma
266,Context.StorageManager.Query.Reader.load_tile_var_sizes,7.387e-06,7.387e-06,1,X_batch,tiledbsoma
212,Context.StorageManager.Query.Reader.load_tile_var_sizes,7.14e-06,7.14e-06,1,X_batch,tiledbsoma
23,Context.StorageManager.Query.Reader.load_tile_var_sizes,5.981e-06,5.981e-06,1,X_batch,tiledbsoma
320,Context.StorageManager.Query.Reader.load_tile_var_sizes,7.046e-06,7.046e-06,1,X_batch,tiledbsoma
158,Context.StorageManager.Query.Reader.load_tile_var_sizes,8.607e-06,8.607e-06,1,X_batch,tiledbsoma
211,Context.StorageManager.Query.Reader.max_num_cells_to_copy,3.936e-06,3.936e-06,1,X_batch,tiledbsoma
373,Context.StorageManager.Query.Reader.max_num_cells_to_copy,2.365e-06,2.365e-06,1,X_batch,tiledbsoma
184,Context.StorageManager.Query.Reader.max_num_cells_to_copy,3.734e-06,3.734e-06,1,X_batch,tiledbsoma
22,Context.StorageManager.Query.Reader.max_num_cells_to_copy,2.788e-06,2.788e-06,1,X_batch,tiledbsoma
76,Context.StorageManager.Query.Reader.max_num_cells_to_copy,4.287e-06,4.287e-06,1,X_batch,tiledbsoma
157,Context.StorageManager.Query.Reader.max_num_cells_to_copy,2.066e-06,2.066e-06,1,X_batch,tiledbsoma
130,Context.StorageManager.Query.Reader.max_num_cells_to_copy,3.721e-06,3.721e-06,1,X_batch,tiledbsoma
103,Context.StorageManager.Query.Reader.max_num_cells_to_copy,2.502e-06,2.502e-06,1,X_batch,tiledbsoma
292,Context.StorageManager.Query.Reader.max_num_cells_to_copy,3.883e-06,3.883e-06,1,X_batch,tiledbsoma
346,Context.StorageManager.Query.Reader.max_num_cells_to_copy,4.115e-06,4.115e-06,1,X_batch,tiledbsoma
265,Context.StorageManager.Query.Reader.max_num_cells_to_copy,4.474e-06,4.474e-06,1,X_batch,tiledbsoma
49,Context.StorageManager.Query.Reader.max_num_cells_to_copy,4.564e-06,4.564e-06,1,X_batch,tiledbsoma
238,Context.StorageManager.Query.Reader.max_num_cells_to_copy,4.18e-06,4.18e-06,1,X_batch,tiledbsoma
319,Context.StorageManager.Query.Reader.max_num_cells_to_copy,3.663e-06,3.663e-06,1,X_batch,tiledbsoma
345,Context.StorageManager.Query.Reader.merge_result_cell_slabs,0.0266506,0.0266506,1,X_batch,tiledbsoma
